Info | CBot instance [Combo, UK100.cash, h1] started.
14/01/2026 06:00:06.701 | Info | Combo: bartime=2026-01-14 05:00, executed=2026-01-14 06:00:06, pending Sell placed at 10134.8; SL=10143.33561847528, TP=10112.453750831717; valid for the next 3 chart bar(s).
15/01/2026 09:00:00.502 | Trade | Placing Stop Order to Sell 4.22 UK100.cash (Price: 10167.7, SL: 10184.8352203415, TP: 10122.84)
15/01/2026 09:00:00.502 | Trade | → Placing Stop Order to Sell 4.22 UK100.cash (Price: 10167.7, SL: 10184.8352203415, TP: 10122.84) SUCCEEDED, PendingOrder OID35
15/01/2026 09:00:00.502 | Info | Combo: bartime=2026-01-15 08:00, executed=2026-01-15 09:00:00, pending Sell placed at 10167.7; SL=10184.835220341545, TP=10122.839993145835; valid for the next 3 chart bar(s).
15/01/2026 12:00:00.203 | Trade | Cancelling pending order OID35
15/01/2026 12:00:00.203 | Trade | → Cancelling pending order OID35 SUCCEEDED
15/01/2026 12:00:00.203 | Info | Combo: pending order 35 cancelled after 3 chart bars.
15/01/2026 21:00:00.011 | Trade | Placing Stop Order to Sell 4.62 UK100.cash (Price: 10213.6, SL: 10229.2518932151, TP: 10172.62)
15/01/2026 21:00:00.011 | Trade | → Placing Stop Order to Sell 4.62 UK100.cash (Price: 10213.6, SL: 10229.2518932151, TP: 10172.62) SUCCEEDED, PendingOrder OID36
15/01/2026 21:00:00.011 | Info | Combo: bartime=2026-01-15 20:00, executed=2026-01-15 21:00:00, pending Sell placed at 10213.6; SL=10229.251893215142, TP=10172.623343562762; valid for the next 3 chart bar(s).
16/01/2026 01:00:00.101 | Trade | Cancelling pending order OID36
16/01/2026 01:00:00.101 | Trade | → Cancelling pending order OID36 SUCCEEDED
16/01/2026 01:00:00.101 | Info | Combo: pending order 36 cancelled after 3 chart bars.
16/01/2026 02:00:05.507 | Info | Combo: MARGIN GUARD - order size reduced. Signal wanted 7.53 units, which needs about $7326.07 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4877.62 budget, free margin was $9755.24). Size was cut from 7.53 to 4.91 units. Real risk on this trade is now about $63.61 (0.65% of balance) instead of the requested 1.00%.
16/01/2026 02:00:05.507 | Trade | Placing Stop Order to Sell 4.91 UK100.cash (Price: 10213.5, SL: 10223.1102843687, TP: 10188.34)
16/01/2026 02:00:05.507 | Trade | → Placing Stop Order to Sell 4.91 UK100.cash (Price: 10213.5, SL: 10223.1102843687, TP: 10188.34) SUCCEEDED, PendingOrder OID37
16/01/2026 02:00:05.507 | Info | Combo: bartime=2026-01-16 01:00, executed=2026-01-16 02:00:05, pending Sell placed at 10213.5; SL=10223.110284368737, TP=10188.340275522645; valid for the next 3 chart bar(s).
16/01/2026 05:00:53.901 | Trade | Cancelling pending order OID37
16/01/2026 05:00:53.901 | Trade | → Cancelling pending order OID37 SUCCEEDED
16/01/2026 05:00:53.901 | Info | Combo: pending order 37 cancelled after 3 chart bars.
16/01/2026 06:00:00.303 | Info | Combo: MARGIN GUARD - order size reduced. Signal wanted 8.60 units, which needs about $8367.09 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4877.62 budget, free margin was $9755.24). Size was cut from 8.60 to 4.91 units. Real risk on this trade is now about $55.63 (0.57% of balance) instead of the requested 1.00%.
16/01/2026 06:00:00.303 | Trade | Placing Stop Order to Sell 4.91 UK100.cash (Price: 10223.8, SL: 10232.2053324774, TP: 10201.79)
16/01/2026 06:00:00.303 | Trade | → Placing Stop Order to Sell 4.91 UK100.cash (Price: 10223.8, SL: 10232.2053324774, TP: 10201.79) SUCCEEDED, PendingOrder OID38
16/01/2026 06:00:00.303 | Info | Combo: bartime=2026-01-16 05:00, executed=2026-01-16 06:00:00, pending Sell placed at 10223.8; SL=10232.205332477435, TP=10201.794839574073; valid for the next 3 chart bar(s).
16/01/2026 08:00:00.007 | Info | Combo: bartime=2026-01-16 07:00, Sell signal skipped: already have same-direction exposure open.
16/01/2026 14:00:00.905 | Trade | Placing Stop Order to Sell 4.59 UK100.cash (Price: 10212.1, SL: 10227.7408654573, TP: 10171.15)
16/01/2026 14:00:00.905 | Trade | → Placing Stop Order to Sell 4.59 UK100.cash (Price: 10212.1, SL: 10227.7408654573, TP: 10171.15) SUCCEEDED, PendingOrder OID41
16/01/2026 14:00:00.905 | Info | Combo: bartime=2026-01-16 13:00, executed=2026-01-16 14:00:00, pending Sell placed at 10212.1; SL=10227.740865457257, TP=10171.1522142329; valid for the next 3 chart bar(s).
16/01/2026 17:00:00.810 | Trade | Cancelling pending order OID41
16/01/2026 17:00:00.810 | Trade | → Cancelling pending order OID41 SUCCEEDED
16/01/2026 17:00:00.810 | Info | Combo: pending order 41 cancelled after 3 chart bars.
16/01/2026 17:00:00.810 | Trade | Placing Stop Order to Buy 4.01 UK100.cash (Price: 10248.9, SL: 10230.9774768859, TP: 10295.82)
16/01/2026 17:00:00.810 | Trade | → Placing Stop Order to Buy 4.01 UK100.cash (Price: 10248.9, SL: 10230.9774768859, TP: 10295.82) SUCCEEDED, PendingOrder OID42
16/01/2026 17:00:00.810 | Info | Combo: bartime=2026-01-16 16:00, executed=2026-01-16 17:00:00, pending Buy placed at 10248.9; SL=10230.977476885884, TP=10295.821165512754; valid for the next 3 chart bar(s).
19/01/2026 09:00:00.504 | Trade | Placing Stop Order to Buy 2.65 UK100.cash (Price: 10236.8, SL: 10210.4407900074, TP: 10305.81)
19/01/2026 09:00:00.504 | Trade | → Placing Stop Order to Buy 2.65 UK100.cash (Price: 10236.8, SL: 10210.4407900074, TP: 10305.81) SUCCEEDED, PendingOrder OID45
19/01/2026 09:00:00.504 | Info | Combo: bartime=2026-01-19 08:00, executed=2026-01-19 09:00:00, pending Buy placed at 10236.8; SL=10210.440790007357, TP=10305.808411760736; valid for the next 3 chart bar(s).
19/01/2026 12:00:00.105 | Trade | Cancelling pending order OID45
19/01/2026 12:00:00.105 | Trade | → Cancelling pending order OID45 SUCCEEDED
19/01/2026 12:00:00.105 | Info | Combo: pending order 45 cancelled after 3 chart bars.
19/01/2026 15:00:00.505 | Trade | Placing Stop Order to Buy 2.99 UK100.cash (Price: 10211.2, SL: 10187.8044272557, TP: 10272.45)
19/01/2026 15:00:00.505 | Trade | → Placing Stop Order to Buy 2.99 UK100.cash (Price: 10211.2, SL: 10187.8044272557, TP: 10272.45) SUCCEEDED, PendingOrder OID46
19/01/2026 15:00:00.505 | Info | Combo: bartime=2026-01-19 14:00, executed=2026-01-19 15:00:00, pending Buy placed at 10211.2; SL=10187.804427255689, TP=10272.449609444608; valid for the next 3 chart bar(s).
19/01/2026 18:00:00.105 | Trade | Cancelling pending order OID46
19/01/2026 18:00:00.105 | Trade | → Cancelling pending order OID46 SUCCEEDED
19/01/2026 18:00:00.105 | Info | Combo: pending order 46 cancelled after 3 chart bars.
19/01/2026 20:00:18.304 | Info | Combo: MARGIN GUARD - order size reduced. Signal wanted 5.04 units, which needs about $4903.50 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4725.11 budget, free margin was $9450.23). Size was cut from 5.04 to 4.75 units. Real risk on this trade is now about $88.98 (0.94% of balance) instead of the requested 1.00%.
19/01/2026 20:00:18.304 | Trade | Placing Stop Order to Sell 4.75 UK100.cash (Price: 10176.1, SL: 10189.9975252769, TP: 10139.72)
19/01/2026 20:00:18.304 | Trade | → Placing Stop Order to Sell 4.75 UK100.cash (Price: 10176.1, SL: 10189.9975252769, TP: 10139.72) SUCCEEDED, PendingOrder OID47
19/01/2026 20:00:18.304 | Info | Combo: bartime=2026-01-19 19:00, executed=2026-01-19 20:00:18, pending Sell placed at 10176.1; SL=10189.997525276856, TP=10139.71627882519; valid for the next 3 chart bar(s).
21/01/2026 01:00:00.206 | Trade | Placing Stop Order to Buy 4.27 UK100.cash (Price: 10116.3, SL: 10100.0699301805, TP: 10158.79)
21/01/2026 01:00:00.206 | Trade | → Placing Stop Order to Buy 4.27 UK100.cash (Price: 10116.3, SL: 10100.0699301805, TP: 10158.79) SUCCEEDED, PendingOrder OID50
21/01/2026 01:00:00.206 | Info | Combo: bartime=2026-01-21 00:00, executed=2026-01-21 01:00:00, pending Buy placed at 10116.3; SL=10100.06993018053, TP=10158.790322787368; valid for the next 3 chart bar(s).
21/01/2026 12:00:00.008 | Trade | Placing Stop Order to Sell 3.27 UK100.cash (Price: 10087.4, SL: 10108.3617234117, TP: 10032.52)
21/01/2026 12:00:00.008 | Trade | → Placing Stop Order to Sell 3.27 UK100.cash (Price: 10087.4, SL: 10108.3617234117, TP: 10032.52) SUCCEEDED, PendingOrder OID53
21/01/2026 12:00:00.008 | Info | Combo: bartime=2026-01-21 11:00, executed=2026-01-21 12:00:00, pending Sell placed at 10087.4; SL=10108.361723411745, TP=10032.522208108052; valid for the next 3 chart bar(s).
21/01/2026 14:00:00.209 | Info | Combo: bartime=2026-01-21 13:00, reversal - cancelling existing Sell pending order 53 before opening opposite direction.
21/01/2026 14:00:00.209 | Trade | Cancelling pending order OID53
21/01/2026 14:00:00.209 | Trade | → Cancelling pending order OID53 SUCCEEDED
21/01/2026 14:00:00.209 | Trade | Placing Stop Order to Buy 3.42 UK100.cash (Price: 10127.4, SL: 10107.3604970165, TP: 10179.86)
21/01/2026 14:00:00.209 | Trade | → Placing Stop Order to Buy 3.42 UK100.cash (Price: 10127.4, SL: 10107.3604970165, TP: 10179.86) SUCCEEDED, PendingOrder OID54
21/01/2026 14:00:00.209 | Info | Combo: bartime=2026-01-21 13:00, executed=2026-01-21 14:00:00, pending Buy placed at 10127.4; SL=10107.360497016483, TP=10179.863418810846; valid for the next 3 chart bar(s).
22/01/2026 12:00:00.105 | Trade | Placing Stop Order to Sell 2.7 UK100.cash (Price: 10149.4, SL: 10174.5344981757, TP: 10083.6)
22/01/2026 12:00:00.105 | Trade | → Placing Stop Order to Sell 2.7 UK100.cash (Price: 10149.4, SL: 10174.5344981757, TP: 10083.6) SUCCEEDED, PendingOrder OID57
22/01/2026 12:00:00.105 | Info | Combo: bartime=2026-01-22 11:00, executed=2026-01-22 12:00:00, pending Sell placed at 10149.4; SL=10174.534498175673, TP=10083.597883776087; valid for the next 3 chart bar(s).
22/01/2026 15:00:00.105 | Trade | Cancelling pending order OID57
22/01/2026 15:00:00.105 | Trade | → Cancelling pending order OID57 SUCCEEDED
22/01/2026 15:00:00.105 | Info | Combo: pending order 57 cancelled after 3 chart bars.
23/01/2026 06:00:09.207 | Info | Combo: MARGIN GUARD - order size reduced. Signal wanted 7.51 units, which needs about $7306.61 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4580.11 budget, free margin was $9160.22). Size was cut from 7.51 to 4.61 units. Real risk on this trade is now about $56.21 (0.61% of balance) instead of the requested 1.00%.
23/01/2026 06:00:09.207 | Trade | Placing Stop Order to Buy 4.61 UK100.cash (Price: 10166.1, SL: 10157.0550223038, TP: 10189.78)
23/01/2026 06:00:09.207 | Trade | → Placing Stop Order to Buy 4.61 UK100.cash (Price: 10166.1, SL: 10157.0550223038, TP: 10189.78) SUCCEEDED, PendingOrder OID58
