Info | CBot instance [MA Cross, GER40.cash, m30] started.
18/01/2026 23:05:15.106 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 3.31 units, which needs about $6573.00 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4882.55 budget, free margin was $9765.09). Size was cut from 3.31 to 2.40 units. Real risk on this trade is now about $70.65 (0.72% of balance) instead of the requested 1.00%.
18/01/2026 23:05:15.106 | Trade | Executing Market Order to Buy 2.4 GER40.cash (SL: 24.96, TP: 65.35)
18/01/2026 23:05:15.106 | Trade | → Executing Market Order to Buy 2.4 GER40.cash (SL: 24.96, TP: 65.35) SUCCEEDED, Position PID19
18/01/2026 23:05:15.106 | Info | MA Cross: bartime=2026-01-16 21:30, executed=2026-01-18 23:05:15, market Buy placed; SL=24.961316560517993 pips, TP=65.3487267554361 pips.
18/01/2026 23:30:00.105 | Trade | Executing Market Order to Sell 1.11 GER40.cash (SL: 73.63, TP: 192.76)
18/01/2026 23:30:00.105 | Trade | → Executing Market Order to Sell 1.11 GER40.cash (SL: 73.63, TP: 192.76) SUCCEEDED, Position PID20
18/01/2026 23:30:00.105 | Info | MA Cross: bartime=2026-01-18 23:00, executed=2026-01-18 23:30:00, market Sell placed; SL=73.62905324841425 pips, TP=192.7608614043485 pips.
21/01/2026 06:00:00.303 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 3.03 units, which needs about $6016.98 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4975.09 budget, free margin was $9950.17). Size was cut from 3.03 to 2.45 units. Real risk on this trade is now about $80.38 (0.81% of balance) instead of the requested 1.00%.
21/01/2026 06:00:00.303 | Trade | Executing Market Order to Buy 2.45 GER40.cash (SL: 27.82, TP: 72.83)
21/01/2026 06:00:00.303 | Trade | → Executing Market Order to Buy 2.45 GER40.cash (SL: 27.82, TP: 72.83) SUCCEEDED, Position PID21
21/01/2026 06:00:00.303 | Info | MA Cross: bartime=2026-01-21 05:30, executed=2026-01-21 06:00:00, market Buy placed; SL=27.82032270131428 pips, TP=72.83360483204078 pips.
21/01/2026 12:00:00.105 | Trade | Executing Market Order to Sell 1.57 GER40.cash (SL: 53.26, TP: 139.43)
21/01/2026 12:00:00.105 | Trade | → Executing Market Order to Sell 1.57 GER40.cash (SL: 53.26, TP: 139.43) SUCCEEDED, Position PID22
21/01/2026 12:00:00.105 | Info | MA Cross: bartime=2026-01-21 11:30, executed=2026-01-21 12:00:00, market Sell placed; SL=53.25942790410093 pips, TP=139.43318225293623 pips.
21/01/2026 20:30:00.105 | Trade | Executing Market Order to Buy 0.71 GER40.cash (SL: 115.96, TP: 303.59)
21/01/2026 20:30:00.105 | Trade | → Executing Market Order to Buy 0.71 GER40.cash (SL: 115.96, TP: 303.59) SUCCEEDED, Position PID23
21/01/2026 20:30:00.105 | Info | MA Cross: bartime=2026-01-21 20:00, executed=2026-01-21 20:30:00, market Buy placed; SL=115.96124672663971 pips, TP=303.58654393034277 pips.
