Info | CBot instance [Combo, US100.cash, h1] started.
23/01/2026 15:00:00.209 | Info | Combo: bartime=2026-01-23 14:00, executed=2026-01-23 15:00:00, pending Buy placed at 25540.7; SL=25468.88612984861, TP=25728.708712056334; valid for the next 3 chart bar(s).
26/01/2026 06:00:00.143 | Trade | Placing Stop Order to Buy 1.26 US100.cash (Price: 25549.6, SL: 25476.9057306346, TP: 25739.91)
26/01/2026 06:00:00.143 | Trade | → Placing Stop Order to Buy 1.26 US100.cash (Price: 25549.6, SL: 25476.9057306346, TP: 25739.91) SUCCEEDED, PendingOrder OID86
26/01/2026 06:00:00.143 | Info | Combo: bartime=2026-01-26 05:00, executed=2026-01-26 06:00:00, pending Buy placed at 25549.6; SL=25476.905730634608, TP=25739.91359719859; valid for the next 3 chart bar(s).
26/01/2026 10:00:00.143 | Trade | Placing Stop Order to Sell 1.19 US100.cash (Price: 25445.4, SL: 25522.0045327321, TP: 25244.85)
26/01/2026 10:00:00.143 | Trade | → Placing Stop Order to Sell 1.19 US100.cash (Price: 25445.4, SL: 25522.0045327321, TP: 25244.85) SUCCEEDED, PendingOrder OID89
26/01/2026 10:00:00.143 | Info | Combo: bartime=2026-01-26 09:00, executed=2026-01-26 10:00:00, pending Sell placed at 25445.4; SL=25522.004532732066, TP=25244.849333307462; valid for the next 3 chart bar(s).
26/01/2026 13:00:00.043 | Trade | Cancelling pending order OID89
26/01/2026 13:00:00.043 | Trade | → Cancelling pending order OID89 SUCCEEDED
26/01/2026 13:00:00.043 | Info | Combo: pending order 89 cancelled after 3 chart bars.
28/01/2026 16:00:00.007 | Trade | Placing Stop Order to Sell 1.41 US100.cash (Price: 26026.5, SL: 26091.209302143, TP: 25857.09)
28/01/2026 16:00:00.007 | Trade | → Placing Stop Order to Sell 1.41 US100.cash (Price: 26026.5, SL: 26091.209302143, TP: 25857.09) SUCCEEDED, PendingOrder OID90
28/01/2026 16:00:00.007 | Info | Combo: bartime=2026-01-28 15:00, executed=2026-01-28 16:00:00, pending Sell placed at 26026.5; SL=26091.209302142965, TP=25857.091046989724; valid for the next 3 chart bar(s).
28/01/2026 23:05:00.009 | Trade | Placing Stop Order to Buy 0.77 US100.cash (Price: 26162.4, SL: 26046.460607899, TP: 26465.93)
28/01/2026 23:05:00.009 | Trade | → Placing Stop Order to Buy 0.77 US100.cash (Price: 26162.4, SL: 26046.460607899, TP: 26465.93) SUCCEEDED, PendingOrder OID93
28/01/2026 23:05:00.009 | Info | Combo: bartime=2026-01-28 21:00, executed=2026-01-28 23:05:00, pending Buy placed at 26162.4; SL=26046.460607899036, TP=26465.929328520328; valid for the next 3 chart bar(s).
29/01/2026 02:00:00.209 | Trade | Cancelling pending order OID93
29/01/2026 02:00:00.209 | Trade | → Cancelling pending order OID93 SUCCEEDED
29/01/2026 02:00:00.209 | Info | Combo: pending order 93 cancelled after 3 chart bars.
29/01/2026 05:00:00.042 | Trade | Placing Stop Order to Buy 1.27 US100.cash (Price: 26110.4, SL: 26039.7407039977, TP: 26295.39)
29/01/2026 05:00:00.042 | Trade | → Placing Stop Order to Buy 1.27 US100.cash (Price: 26110.4, SL: 26039.7407039977, TP: 26295.39) SUCCEEDED, PendingOrder OID94
29/01/2026 05:00:00.042 | Info | Combo: bartime=2026-01-29 04:00, executed=2026-01-29 05:00:00, pending Buy placed at 26110.4; SL=26039.740703997668, TP=26295.38603693411; valid for the next 3 chart bar(s).
29/01/2026 11:00:00.009 | Info | Combo: bartime=2026-01-29 10:00, reversal - closing existing Buy position 28 before opening opposite direction.
29/01/2026 11:00:00.009 | Trade | Closing position PID28 (Volume: 1.27)
29/01/2026 11:00:00.009 | Trade | → Closing position PID28 (Volume: 1.27) SUCCEEDED
29/01/2026 11:00:00.009 | Trade | Placing Stop Order to Sell 1.61 US100.cash (Price: 26053.1, SL: 26108.6803568912, TP: 25907.59)
29/01/2026 11:00:00.009 | Trade | → Placing Stop Order to Sell 1.61 US100.cash (Price: 26053.1, SL: 26108.6803568912, TP: 25907.59) SUCCEEDED, PendingOrder OID98
29/01/2026 11:00:00.009 | Info | Combo: bartime=2026-01-29 10:00, executed=2026-01-29 11:00:00, pending Sell placed at 26053.1; SL=26108.680356891233, TP=25907.590625658748; valid for the next 3 chart bar(s).
29/01/2026 13:00:00.043 | Info | Combo: bartime=2026-01-29 12:00, Sell signal skipped: already have same-direction exposure open.
29/01/2026 15:00:00.011 | Trade | Placing Stop Order to Sell 0.83 US100.cash (Price: 25726.1, SL: 25836.1642741826, TP: 25437.95)
29/01/2026 15:00:00.011 | Trade | → Placing Stop Order to Sell 0.83 US100.cash (Price: 25726.1, SL: 25836.1642741826, TP: 25437.95) SUCCEEDED, PendingOrder OID101
29/01/2026 15:00:00.011 | Info | Combo: bartime=2026-01-29 14:00, executed=2026-01-29 15:00:00, pending Sell placed at 25726.1; SL=25836.16427418265, TP=25437.95173018982; valid for the next 3 chart bar(s).
30/01/2026 12:00:00.065 | Trade | Placing Stop Order to Buy 0.89 US100.cash (Price: 25768.2, SL: 25662.5787460022, TP: 26044.72)
30/01/2026 12:00:00.065 | Trade | → Placing Stop Order to Buy 0.89 US100.cash (Price: 25768.2, SL: 25662.5787460022, TP: 26044.72) SUCCEEDED, PendingOrder OID104
30/01/2026 12:00:00.065 | Info | Combo: bartime=2026-01-30 11:00, executed=2026-01-30 12:00:00, pending Buy placed at 25768.2; SL=25662.57874600222, TP=26044.716442966197; valid for the next 3 chart bar(s).
02/02/2026 13:00:00.008 | Trade | Placing Stop Order to Buy 0.93 US100.cash (Price: 25415.4, SL: 25315.3130832187, TP: 25677.43)
02/02/2026 13:00:00.008 | Trade | → Placing Stop Order to Buy 0.93 US100.cash (Price: 25415.4, SL: 25315.3130832187, TP: 25677.43) SUCCEEDED, PendingOrder OID107
02/02/2026 13:00:00.008 | Info | Combo: bartime=2026-02-02 12:00, executed=2026-02-02 13:00:00, pending Buy placed at 25415.4; SL=25315.3130832187, TP=25677.427548133444; valid for the next 3 chart bar(s).
03/02/2026 15:00:00.093 | Trade | Placing Stop Order to Sell 0.86 US100.cash (Price: 25508.6, SL: 25619.1504144313, TP: 25219.18)
