Info | CBot instance [MA Cross, BTCUSD, m20] started.
09/01/2026 21:20:00.490 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.31 units, which needs about $20714.18 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4968.93 budget, free margin was $9937.85). Size was cut from 0.31 to 0.07 units. Real risk on this trade is now about $22.28 (0.22% of balance) instead of the requested 1.00%.
09/01/2026 21:20:00.490 | Trade | Executing Market Order to Sell 0.07 BTCUSD (SL: 318.28, TP: 833.25)
09/01/2026 21:20:00.490 | Trade | → Executing Market Order to Sell 0.07 BTCUSD (SL: 318.28, TP: 833.25) SUCCEEDED, Position PID16
09/01/2026 21:20:00.490 | Info | MA Cross: bartime=2026-01-09 21:00, executed=2026-01-09 21:20:00, market Sell placed; SL=318.2755246184486 pips, TP=833.2453234510984 pips.
11/01/2026 03:20:01.696 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 1.46 units, which needs about $97557.13 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4957.64 budget, free margin was $9915.27). Size was cut from 1.46 to 0.07 units. Real risk on this trade is now about $4.72 (0.05% of balance) instead of the requested 1.00%.
11/01/2026 03:20:01.696 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 67.46, TP: 176.6)
11/01/2026 03:20:01.696 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 67.46, TP: 176.6) SUCCEEDED, Position PID17
11/01/2026 03:20:01.696 | Info | MA Cross: bartime=2026-01-11 03:00, executed=2026-01-11 03:20:01, market Buy placed; SL=67.45586386293938 pips, TP=176.5994515931753 pips.
11/01/2026 21:00:00.252 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.61 units, which needs about $40760.17 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4955.26 budget, free margin was $9910.52). Size was cut from 0.61 to 0.07 units. Real risk on this trade is now about $11.33 (0.11% of balance) instead of the requested 1.00%.
11/01/2026 21:00:00.252 | Trade | Executing Market Order to Sell 0.07 BTCUSD (SL: 161.89, TP: 423.84)
11/01/2026 21:00:00.252 | Trade | → Executing Market Order to Sell 0.07 BTCUSD (SL: 161.89, TP: 423.84) SUCCEEDED, Position PID18
11/01/2026 21:00:00.252 | Info | MA Cross: bartime=2026-01-11 20:40, executed=2026-01-11 21:00:00, market Sell placed; SL=161.89355659427505 pips, TP=423.83733116381205 pips.
12/01/2026 01:40:00.066 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.23 units, which needs about $15368.59 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4970.20 budget, free margin was $9940.39). Size was cut from 0.23 to 0.07 units. Real risk on this trade is now about $30.22 (0.30% of balance) instead of the requested 1.00%.
12/01/2026 01:40:00.066 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 431.64, TP: 1130.05)
12/01/2026 01:40:00.066 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 431.64, TP: 1130.05) SUCCEEDED, Position PID19
12/01/2026 01:40:00.066 | Info | MA Cross: bartime=2026-01-12 01:20, executed=2026-01-12 01:40:00, market Buy placed; SL=431.6444004812086 pips, TP=1130.045040459804 pips.
12/01/2026 09:40:00.601 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.30 units, which needs about $20045.99 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5009.91 budget, free margin was $10019.82). Size was cut from 0.30 to 0.07 units. Real risk on this trade is now about $22.85 (0.23% of balance) instead of the requested 1.00%.
12/01/2026 09:40:00.601 | Trade | Executing Market Order to Sell 0.07 BTCUSD (SL: 326.38, TP: 854.46)
12/01/2026 09:40:00.601 | Trade | → Executing Market Order to Sell 0.07 BTCUSD (SL: 326.38, TP: 854.46) SUCCEEDED, Position PID20
12/01/2026 09:40:00.601 | Info | MA Cross: bartime=2026-01-12 09:20, executed=2026-01-12 09:40:00, market Sell placed; SL=326.3773850587703 pips, TP=854.4559940838606 pips.
12/01/2026 17:00:01.408 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.24 units, which needs about $16036.79 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4997.87 budget, free margin was $9995.73). Size was cut from 0.24 to 0.07 units. Real risk on this trade is now about $28.11 (0.28% of balance) instead of the requested 1.00%.
12/01/2026 17:00:01.408 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 401.61, TP: 1051.43)
12/01/2026 17:00:01.408 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 401.61, TP: 1051.43) SUCCEEDED, Position PID21
12/01/2026 17:00:01.408 | Info | MA Cross: bartime=2026-01-12 16:40, executed=2026-01-12 17:00:01, market Buy placed; SL=401.61494414240826 pips, TP=1051.4279237648248 pips.
13/01/2026 06:00:00.006 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.35 units, which needs about $23386.98 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4983.79 budget, free margin was $9967.58). Size was cut from 0.35 to 0.07 units. Real risk on this trade is now about $19.48 (0.20% of balance) instead of the requested 1.00%.
13/01/2026 06:00:00.006 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 278.24, TP: 728.44)
13/01/2026 06:00:00.006 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 278.24, TP: 728.44) SUCCEEDED, Position PID22
13/01/2026 06:00:00.006 | Info | MA Cross: bartime=2026-01-13 05:40, executed=2026-01-13 06:00:00, market Buy placed; SL=278.244204366636 pips, TP=728.443327031853 pips.
14/01/2026 15:00:00.008 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.20 units, which needs about $13363.99 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5009.59 budget, free margin was $10019.17). Size was cut from 0.20 to 0.07 units. Real risk on this trade is now about $34.23 (0.34% of balance) instead of the requested 1.00%.
14/01/2026 15:00:00.008 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 488.93, TP: 1280.03)
14/01/2026 15:00:00.008 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 488.93, TP: 1280.03) SUCCEEDED, Position PID23
14/01/2026 15:00:00.008 | Info | MA Cross: bartime=2026-01-14 14:40, executed=2026-01-14 15:00:00, market Buy placed; SL=488.9334359209838 pips, TP=1280.0277352411356 pips.
15/01/2026 01:40:00.206 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.31 units, which needs about $20714.18 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5054.43 budget, free margin was $10108.85). Size was cut from 0.31 to 0.07 units. Real risk on this trade is now about $22.67 (0.22% of balance) instead of the requested 1.00%.
15/01/2026 01:40:00.206 | Trade | Executing Market Order to Sell 0.07 BTCUSD (SL: 323.92, TP: 848.02)
15/01/2026 01:40:00.206 | Trade | → Executing Market Order to Sell 0.07 BTCUSD (SL: 323.92, TP: 848.02) SUCCEEDED, Position PID24
15/01/2026 01:40:00.206 | Info | MA Cross: bartime=2026-01-15 01:20, executed=2026-01-15 01:40:00, market Sell placed; SL=323.92040019665166 pips, TP=848.023607714834 pips.
15/01/2026 10:00:00.210 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.41 units, which needs about $27396.18 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5043.01 budget, free margin was $10086.01). Size was cut from 0.41 to 0.07 units. Real risk on this trade is now about $16.95 (0.17% of balance) instead of the requested 1.00%.
15/01/2026 10:00:00.210 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 242.19, TP: 634.06)
15/01/2026 10:00:00.210 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 242.19, TP: 634.06) SUCCEEDED, Position PID25
15/01/2026 10:00:00.210 | Info | MA Cross: bartime=2026-01-15 09:40, executed=2026-01-15 10:00:00, market Buy placed; SL=242.19327197513968 pips, TP=634.0619860309157 pips.
15/01/2026 16:00:00.038 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.14 units, which needs about $9354.79 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5034.40 budget, free margin was $10068.79). Size was cut from 0.14 to 0.07 units. Real risk on this trade is now about $48.47 (0.48% of balance) instead of the requested 1.00%.
15/01/2026 16:00:00.038 | Trade | Executing Market Order to Sell 0.07 BTCUSD (SL: 692.47, TP: 1812.88)
15/01/2026 16:00:00.038 | Trade | → Executing Market Order to Sell 0.07 BTCUSD (SL: 692.47, TP: 1812.88) SUCCEEDED, Position PID26
15/01/2026 16:00:00.038 | Info | MA Cross: bartime=2026-01-15 15:40, executed=2026-01-15 16:00:00, market Sell placed; SL=692.4664183101654 pips, TP=1812.877083136013 pips.
16/01/2026 09:00:00.210 | Info | MA Cross: bartime=2026-01-16 08:40, reversal - closing existing Sell position 26 before opening opposite direction.
16/01/2026 09:00:00.210 | Trade | Closing position PID26 (Volume: 0.07)
16/01/2026 09:00:00.210 | Trade | → Closing position PID26 (Volume: 0.07) SUCCEEDED
16/01/2026 09:00:00.210 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.60 units, which needs about $40091.97 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5070.18 budget, free margin was $10140.35). Size was cut from 0.60 to 0.07 units. Real risk on this trade is now about $11.82 (0.12% of balance) instead of the requested 1.00%.
16/01/2026 09:00:00.210 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 168.87, TP: 442.1)
16/01/2026 09:00:00.210 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 168.87, TP: 442.1) SUCCEEDED, Position PID27
16/01/2026 09:00:00.210 | Info | MA Cross: bartime=2026-01-16 08:40, executed=2026-01-16 09:00:00, market Buy placed; SL=168.8681314660291 pips, TP=442.09676817806417 pips.
16/01/2026 22:05:00.002 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 0.46 units, which needs about $30737.18 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5064.25 budget, free margin was $10128.49). Size was cut from 0.46 to 0.07 units. Real risk on this trade is now about $15.13 (0.15% of balance) instead of the requested 1.00%.
16/01/2026 22:05:00.002 | Trade | Executing Market Order to Buy 0.07 BTCUSD (SL: 216.2, TP: 566.02)
16/01/2026 22:05:00.002 | Trade | → Executing Market Order to Buy 0.07 BTCUSD (SL: 216.2, TP: 566.02) SUCCEEDED, Position PID28
16/01/2026 22:05:00.002 | Info | MA Cross: bartime=2026-01-16 21:40, executed=2026-01-16 22:05:00, market Buy placed; SL=216.20450440809776 pips, TP=566.0233925403999 pips.
17/01/2026 05:40:00.282 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 1.28 units, which needs about $85529.54 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5056.39 budget, free margin was $10112.78). Size was cut from 1.28 to 0.07 units. Real risk on this trade is now about $5.50 (0.05% of balance) instead of the requested 1.00%.
17/01/2026 05:40:00.282 | Trade | Executing Market Order to Sell 0.07 BTCUSD (SL: 78.56, TP: 205.66)
17/01/2026 05:40:00.282 | Trade | → Executing Market Order to Sell 0.07 BTCUSD (SL: 78.56, TP: 205.66) SUCCEEDED, Position PID29
