Info | CBot instance [MA Cross, XAUUSD, m20] started.
16/01/2026 00:40:01.400 | Trade | Executing Market Order to Sell 15 XAUUSD (SL: 7.01, TP: 18.36)
16/01/2026 00:40:01.400 | Trade | → Executing Market Order to Sell 15 XAUUSD (SL: 7.01, TP: 18.36) SUCCEEDED, Position PID20
16/01/2026 00:40:01.400 | Info | MA Cross: bartime=2026-01-16 00:20, executed=2026-01-16 00:40:01, market Sell placed; SL=7.014261392681562 pips, TP=18.36333632604033 pips.
16/01/2026 08:40:00.000 | Trade | Executing Market Order to Buy 13 XAUUSD (SL: 8.22, TP: 21.53)
16/01/2026 08:40:00.000 | Trade | → Executing Market Order to Buy 13 XAUUSD (SL: 8.22, TP: 21.53) SUCCEEDED, Position PID21
16/01/2026 08:40:00.000 | Info | MA Cross: bartime=2026-01-16 08:20, executed=2026-01-16 08:40:00, market Buy placed; SL=8.22382009492213 pips, TP=21.529961008506138 pips.
18/01/2026 23:40:00.004 | Trade | Executing Market Order to Buy 4 XAUUSD (SL: 23.14, TP: 60.57)
18/01/2026 23:40:00.004 | Trade | → Executing Market Order to Buy 4 XAUUSD (SL: 23.14, TP: 60.57) SUCCEEDED, Position PID22
18/01/2026 23:40:00.004 | Info | MA Cross: bartime=2026-01-18 23:20, executed=2026-01-18 23:40:00, market Buy placed; SL=23.137263851208537 pips, TP=60.573356762463945 pips.
19/01/2026 14:20:01.205 | Info | MA Cross: bartime=2026-01-19 14:00, reversal - closing existing Buy position 22 before opening opposite direction.
19/01/2026 14:20:01.205 | Trade | Closing position PID22 (Volume: 4)
19/01/2026 14:20:01.205 | Trade | → Closing position PID22 (Volume: 4) SUCCEEDED
19/01/2026 14:20:01.205 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 17.00 units, which needs about $5872.75 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5364.06 budget, free margin was $10728.13). Size was cut from 17.00 to 15.00 units. Real risk on this trade is now about $89.91 (0.84% of balance) instead of the requested 1.00%.
19/01/2026 14:20:01.205 | Trade | Executing Market Order to Sell 15 XAUUSD (SL: 5.99, TP: 15.69)
19/01/2026 14:20:01.205 | Trade | → Executing Market Order to Sell 15 XAUUSD (SL: 5.99, TP: 15.69) SUCCEEDED, Position PID23
19/01/2026 14:20:01.205 | Info | MA Cross: bartime=2026-01-19 14:00, executed=2026-01-19 14:20:01, market Sell placed; SL=5.993934379424455 pips, TP=15.692120205333222 pips.
20/01/2026 04:20:00.002 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 17.00 units, which needs about $5872.75 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $5317.04 budget, free margin was $10634.08). Size was cut from 17.00 to 15.00 units. Real risk on this trade is now about $89.34 (0.84% of balance) instead of the requested 1.00%.
20/01/2026 04:20:00.002 | Trade | Executing Market Order to Buy 15 XAUUSD (SL: 5.96, TP: 15.59)
20/01/2026 04:20:00.002 | Trade | → Executing Market Order to Buy 15 XAUUSD (SL: 5.96, TP: 15.59) SUCCEEDED, Position PID24
20/01/2026 04:20:00.002 | Info | MA Cross: bartime=2026-01-20 04:00, executed=2026-01-20 04:20:00, market Buy placed; SL=5.956304028168409 pips, TP=15.593603945744894 pips.
21/01/2026 15:40:00.201 | Trade | Executing Market Order to Sell 4 XAUUSD (SL: 26.28, TP: 68.81)
21/01/2026 15:40:00.201 | Trade | → Executing Market Order to Sell 4 XAUUSD (SL: 26.28, TP: 68.81) SUCCEEDED, Position PID25
21/01/2026 15:40:00.201 | Info | MA Cross: bartime=2026-01-21 15:20, executed=2026-01-21 15:40:00, market Sell placed; SL=26.28194525711879 pips, TP=68.80613268313698 pips.
22/01/2026 07:20:00.001 | Trade | Executing Market Order to Buy 11 XAUUSD (SL: 9.6, TP: 25.13)
22/01/2026 07:20:00.001 | Trade | → Executing Market Order to Buy 11 XAUUSD (SL: 9.6, TP: 25.13) SUCCEEDED, Position PID26
22/01/2026 07:20:00.001 | Info | MA Cross: bartime=2026-01-22 07:00, executed=2026-01-22 07:20:00, market Buy placed; SL=9.600029537202403 pips, TP=25.13287732839589 pips.
23/01/2026 09:20:00.206 | Trade | Executing Market Order to Sell 7 XAUUSD (SL: 14.96, TP: 39.16)
23/01/2026 09:20:00.206 | Trade | → Executing Market Order to Sell 7 XAUUSD (SL: 14.96, TP: 39.16) SUCCEEDED, Position PID27
23/01/2026 09:20:00.206 | Info | MA Cross: bartime=2026-01-23 09:00, executed=2026-01-23 09:20:00, market Sell placed; SL=14.958299251515898 pips, TP=39.16082744046862 pips.
23/01/2026 16:00:00.205 | Trade | Executing Market Order to Buy 8 XAUUSD (SL: 13.58, TP: 35.55)
23/01/2026 16:00:00.205 | Trade | → Executing Market Order to Buy 8 XAUUSD (SL: 13.58, TP: 35.55) SUCCEEDED, Position PID28
23/01/2026 16:00:00.205 | Info | MA Cross: bartime=2026-01-23 15:40, executed=2026-01-23 16:00:00, market Buy placed; SL=13.578814501973243 pips, TP=35.549336366165946 pips.
26/01/2026 18:20:00.003 | Trade | Executing Market Order to Buy 5 XAUUSD (SL: 19.2, TP: 50.28)
26/01/2026 18:20:00.003 | Trade | → Executing Market Order to Buy 5 XAUUSD (SL: 19.2, TP: 50.28) SUCCEEDED, Position PID29
26/01/2026 18:20:00.003 | Info | MA Cross: bartime=2026-01-26 18:00, executed=2026-01-26 18:20:00, market Buy placed; SL=19.204090498071785 pips, TP=50.27630892395193 pips.
26/01/2026 19:20:00.001 | Trade | Executing Market Order to Sell 4 XAUUSD (SL: 23.56, TP: 61.69)
26/01/2026 19:20:00.001 | Trade | → Executing Market Order to Sell 4 XAUUSD (SL: 23.56, TP: 61.69) SUCCEEDED, Position PID30
26/01/2026 19:20:00.001 | Info | MA Cross: bartime=2026-01-26 19:00, executed=2026-01-26 19:20:00, market Sell placed; SL=23.564734335012695 pips, TP=61.69247448906323 pips.
27/01/2026 04:00:00.202 | Trade | Executing Market Order to Buy 7 XAUUSD (SL: 15.09, TP: 39.5)
27/01/2026 04:00:00.202 | Trade | → Executing Market Order to Buy 7 XAUUSD (SL: 15.09, TP: 39.5) SUCCEEDED, Position PID31
27/01/2026 04:00:00.202 | Info | MA Cross: bartime=2026-01-27 03:40, executed=2026-01-27 04:00:00, market Buy placed; SL=15.0895355127133 pips, TP=39.50440397228342 pips.
