bartime,open,high,low,close,volume
2025-06-08 22:45:00,23882.8,23891.2,23873.3,23889.9,1127.0
2025-06-08 23:30:00,23890.4,23907.0,23888.0,23904.8,1060.0
2025-06-09 00:15:00,23905.4,23906.1,23888.5,23890.5,1199.0
2025-06-09 01:00:00,23890.0,24112.2,23883.7,24106.2,5514.0
2025-06-09 01:45:00,24106.7,24184.2,24083.7,24174.2,8775.0
2025-06-09 02:30:00,24174.7,24188.2,24100.2,24108.7,7093.0
2025-06-09 03:15:00,24109.2,24116.2,24013.7,24043.7,5013.0
2025-06-09 04:00:00,24043.2,24043.2,24024.5,24029.6,446.0
2025-06-09 04:45:00,24030.5,24060.7,24000.7,24028.2,4506.0
2025-06-09 05:30:00,24026.2,24108.7,23995.2,24099.2,5426.0
2025-06-09 06:15:00,24098.7,24126.7,24050.7,24117.2,4413.0
2025-06-09 07:00:00,24118.2,24161.2,24114.2,24146.2,3571.0
2025-06-09 07:45:00,24146.7,24192.6,24118.6,24146.6,3051.0
2025-06-09 08:30:00,24113.8,24142.2,24101.8,24130.6,1401.0
2025-06-09 09:15:00,24142.1,24169.1,24138.1,24161.1,1484.0
2025-06-09 10:00:00,24160.6,24172.6,24151.1,24153.1,1178.0
2025-06-09 10:45:00,24154.1,24161.6,24146.6,24153.6,1176.0
2025-06-09 11:30:00,24153.1,24163.1,24138.6,24140.1,1132.0
2025-06-09 12:15:00,24140.6,24140.6,24107.6,24107.6,1303.0
2025-06-09 13:00:00,24109.1,24118.6,24067.6,24086.1,3478.0
2025-06-09 13:45:00,24086.6,24141.1,24066.1,24128.6,3679.0
2025-06-09 14:30:00,24128.1,24167.1,24119.1,24166.1,3107.0
2025-06-09 15:15:00,24166.6,24197.1,24163.6,24168.6,2364.0
2025-06-09 16:00:00,24168.1,24174.1,24148.6,24166.6,1571.0
2025-06-09 16:45:00,24167.6,24200.1,24165.6,24190.6,1601.0
2025-06-09 17:30:00,24191.1,24210.1,24181.6,24202.1,1309.0
2025-06-09 18:15:00,24201.6,24216.6,24198.1,24207.1,1245.0
2025-06-09 19:00:00,24191.0,24195.4,24163.3,24164.7,1701.0
2025-06-09 19:45:00,24164.5,24174.3,24133.2,24140.4,2299.0
2025-06-09 20:30:00,24139.3,24154.7,24138.6,24154.5,438.0
2025-06-09 21:00:00,24155.0,24156.7,24152.1,24155.3,75.0
2025-06-09 21:45:00,24155.5,24172.8,24154.3,24162.8,574.0
2025-06-09 22:30:00,24163.7,24168.1,24157.0,24164.4,389.0
2025-06-09 23:15:00,24165.4,24171.3,24164.6,24167.2,210.0
2025-06-10 00:00:00,24166.4,24199.4,24147.7,24199.4,817.0
2025-06-10 00:45:00,24199.0,24242.1,24168.6,24205.6,2032.0
2025-06-10 01:30:00,24206.1,24293.6,24156.1,24288.1,9090.0
2025-06-10 02:15:00,24287.6,24306.6,24223.6,24224.1,6684.0
2025-06-10 03:00:00,24225.1,24263.7,24216.1,24245.2,4834.0
2025-06-10 03:45:00,24244.7,24279.2,24234.1,24235.6,1118.0
2025-06-10 04:30:00,24236.7,24294.7,24177.7,24181.7,2472.0
2025-06-10 05:15:00,24182.2,24182.2,24015.2,24122.2,8595.0
2025-06-10 06:00:00,24121.7,24168.7,24074.7,24161.7,6022.0
2025-06-10 06:45:00,24162.2,24165.7,24100.2,24133.2,4587.0
2025-06-10 07:30:00,24132.7,24166.7,24088.6,24090.6,4203.0
2025-06-10 08:15:00,24090.1,24129.1,24088.1,24120.6,2503.0
2025-06-10 09:00:00,24121.9,24144.3,24090.1,24109.1,1943.0
2025-06-10 09:45:00,24109.6,24137.6,24102.1,24130.1,1415.0
2025-06-10 10:30:00,24130.6,24150.6,24127.6,24140.1,1232.0
