bartime,fast_ma,slow_ma,macd_h
2025-09-05 09:00:00,25261.846153846152,25114.561764705883,17.068947422507506
2025-09-05 09:45:00,25289.87692307692,25128.364705882355,10.238091179880428
2025-09-05 10:30:00,25314.430769230767,25140.673529411764,2.830721245749629
2025-09-05 11:15:00,25332.923076923078,25151.54411764706,-8.25680329998778
2025-09-05 12:00:00,25355.453846153843,25164.617647058825,-0.8990517840089183
2025-09-05 12:45:00,25377.376923076925,25177.373529411765,-2.5396718323527807
2025-09-05 13:30:00,25392.546153846153,25187.891176470584,-18.51782711516418
2025-09-05 14:15:00,25399.1,25196.100000000002,-39.40243730679549
2025-09-05 15:00:00,25404.992307692304,25209.11176470588,-30.43293660149145
2025-09-05 15:45:00,25401.215384615385,25220.302941176473,-28.874130360596425
2025-09-05 16:30:00,25398.199999999997,25231.426470588234,-23.08745155582183
2025-09-05 17:15:00,25394.646153846155,25241.405882352938,-21.098620657540607
2025-09-05 18:00:00,25390.67692307692,25251.241176470587,-16.69105646117825
2025-09-05 18:45:00,25387.246153846154,25261.449999999997,-12.38723873121927
2025-09-05 19:30:00,25384.023076923077,25271.49117647059,-6.936049147119057
2025-09-05 20:15:00,25381.100000000002,25282.04411764706,-4.379392253474613
2025-09-07 22:00:00,25381.89230769231,25291.832352941175,-0.2502682152210767
2025-09-07 22:45:00,25378.85384615385,25302.55,5.43042490428202
2025-09-07 23:30:00,25377.046153846153,25313.635294117645,6.61943518587119
2025-09-08 00:15:00,25378.215384615385,25323.647058823528,-1.2892757820500549
2025-09-08 01:00:00,25393.66923076923,25336.435294117644,11.853694807807166
2025-09-08 01:45:00,25399.699999999997,25348.123529411765,7.434242491154372
2025-09-08 02:30:00,25411.40769230769,25361.09117647059,11.32846664782764
2025-09-08 03:15:00,25421.853846153845,25372.761764705883,9.79983775670982
2025-09-08 04:00:00,25431.376923076925,25382.20882352941,2.0480456783993475
2025-09-08 04:45:00,25442.63846153846,25391.870588235295,2.851985110067261
2025-09-08 05:30:00,25462.030769230765,25404.979411764707,20.631618191569913
2025-09-08 06:15:00,25482.546153846157,25418.676470588234,28.752686440722727
2025-09-08 07:00:00,25501.292307692307,25430.95,22.42570376142004
2025-09-08 07:45:00,25516.01538461538,25439.608823529416,8.984418152381181
2025-09-08 08:30:00,25528.16923076923,25445.226470588237,-0.7642956910683552
2025-09-08 09:15:00,25538.930769230767,25450.261764705883,-9.216121707357019
2025-09-08 10:00:00,25552.884615384617,25455.602941176472,-12.666684649386212
2025-09-08 10:45:00,25560.115384615383,25460.867647058825,-11.866077657842311
2025-09-08 11:30:00,25571.061538461538,25466.352941176472,-10.327761985845825
2025-09-08 12:15:00,25580.069230769233,25472.04705882353,-6.245972705098183
2025-09-08 13:00:00,25588.6,25477.59117647059,-6.583480106806732
2025-09-08 13:45:00,25595.453846153847,25482.58823529412,-15.43214250699505
2025-09-08 14:30:00,25604.746153846154,25487.188235294117,-7.209659921003748
2025-09-08 15:15:00,25605.26923076923,25492.114705882355,-4.41587464017735
2025-09-08 16:00:00,25602.17692307692,25498.829411764706,-6.627695733552883
2025-09-08 16:45:00,25601.423076923078,25508.308823529413,-6.344136071722943
2025-09-08 17:30:00,25604.19230769231,25515.773529411767,-4.305859332366126
2025-09-08 18:15:00,25608.646153846155,25524.538235294116,-1.1574836657918297
2025-09-08 19:00:00,25614.707692307693,25533.04411764706,0.18678811907804516
