bartime,side,sl_price
2026-04-24 14:00,BUY,4674.27
2026-04-27 00:00,SELL,4739.98
2026-04-27 14:00,SELL,4718.23
2026-04-30 08:00,BUY,4540.73
2026-05-01 08:00,SELL,4635.82
2026-05-01 16:00,BUY,4559.81
2026-05-04 06:00,SELL,4642.35
2026-05-05 11:30,BUY,4527.86
2026-05-07 22:00,SELL,4764.51
2026-05-08 06:00,BUY,4676.11
2026-05-08 10:00,BUY,4697.04
2026-05-11 00:00,SELL,4728.84
